@id,@type,ceasn:description,ceasn:inLanguage,ceasn:license,ceasn:name,ceasn:publicationStatusType,ceasn:publisherName,ceasn:source,ceasn:codedNotation,ceasn:competencyLabel,ceasn:competencyCategory,ceasn:competencyText,ceasn:comment,ceasn:isTopChildOf,ceasn:isChildOf
ce-07c257d6-9119-11e8-b852-782bcb5df6ac,ceasn:CompetencyFramework,Enduring attributes of the individual that influence performance,en,https://creativecommons.org/licenses/by/4.0/,O*NET Content Model Worker Characteristics - Abilities: U.S. Department of Labor (DOL),http://credreg.net/ctdlasn/vocabs/publicationStatus/Published,U.S. Department of Labor Employment and Training Administration,https://www.onetcenter.org/database.html|https://www.onetcenter.org/competencyFrameworks.html|https://www.onetcenter.org/content.html|https://www.onetcenter.org/ctdlasn/resources/ce-07c257d6-9119-11e8-b852-782bcb5df6ac,,,,,,,
ce-07c258c1-9119-11e8-b852-782bcb5df6ac,ceasn:Competency,,,,,,,,1.A.1,Cognitive Abilities,,Abilities that influence the acquisition and application of knowledge in problem solving,,ce-07c257d6-9119-11e8-b852-782bcb5df6ac,
ce-07c34057-9119-11e8-b852-782bcb5df6ac,ceasn:Competency,,,,,,,,1.A.2,Psychomotor Abilities,,Abilities that influence the capacity to manipulate and control objects,,ce-07c257d6-9119-11e8-b852-782bcb5df6ac,
ce-07c347cc-9119-11e8-b852-782bcb5df6ac,ceasn:Competency,,,,,,,,1.A.3,Physical Abilities,,"Abilities that influence strength, endurance, flexibility, balance and coordination",,ce-07c257d6-9119-11e8-b852-782bcb5df6ac,
ce-07c34c04-9119-11e8-b852-782bcb5df6ac,ceasn:Competency,,,,,,,,1.A.4,Sensory Abilities,,"Abilities that influence visual, auditory and speech perception",,ce-07c257d6-9119-11e8-b852-782bcb5df6ac,
ce-07c2592a-9119-11e8-b852-782bcb5df6ac,ceasn:Competency,,,,,,,,1.A.1.a,Verbal Abilities,,Abilities that influence the acquisition and application of verbal information in problem solving,Verbal,,ce-07c258c1-9119-11e8-b852-782bcb5df6ac
ce-07c25b00-9119-11e8-b852-782bcb5df6ac,ceasn:Competency,,,,,,,,1.A.1.b,Idea Generation and Reasoning Abilities,,Abilities that influence the application and manipulation of information in problem solving,Ideas and Logic,,ce-07c258c1-9119-11e8-b852-782bcb5df6ac
ce-07c25dfe-9119-11e8-b852-782bcb5df6ac,ceasn:Competency,,,,,,,,1.A.1.c,Quantitative Abilities,,Abilities that influence the solution of problems involving mathematical relationships,Math,,ce-07c258c1-9119-11e8-b852-782bcb5df6ac
ce-07c337d8-9119-11e8-b852-782bcb5df6ac,ceasn:Competency,,,,,,,,1.A.1.d,Memory,,Abilities related to the recall of available information,Memory,,ce-07c258c1-9119-11e8-b852-782bcb5df6ac
ce-07c3387c-9119-11e8-b852-782bcb5df6ac,ceasn:Competency,,,,,,,,1.A.1.e,Perceptual Abilities,,Abilities related to the acquisition and organization of visual information,Visual Understanding,,ce-07c258c1-9119-11e8-b852-782bcb5df6ac
ce-07c33e64-9119-11e8-b852-782bcb5df6ac,ceasn:Competency,,,,,,,,1.A.1.f,Spatial Abilities,,Abilities related to the manipulation and organization of spatial information,Spatial,,ce-07c258c1-9119-11e8-b852-782bcb5df6ac
ce-07c33f61-9119-11e8-b852-782bcb5df6ac,ceasn:Competency,,,,,,,,1.A.1.g,Attentiveness,,Abilities related to application of attention,Attention,,ce-07c258c1-9119-11e8-b852-782bcb5df6ac
ce-07c25988-9119-11e8-b852-782bcb5df6ac,ceasn:Competency,,,,,,,,1.A.1.a.1,Oral Comprehension,Abilities,The ability to listen to and understand information and ideas presented through spoken words and sentences.,listen and understand what people say,,ce-07c2592a-9119-11e8-b852-782bcb5df6ac
ce-07c259eb-9119-11e8-b852-782bcb5df6ac,ceasn:Competency,,,,,,,,1.A.1.a.2,Written Comprehension,Abilities,The ability to read and understand information and ideas presented in writing.,read and understand what is written,,ce-07c2592a-9119-11e8-b852-782bcb5df6ac
ce-07c25a46-9119-11e8-b852-782bcb5df6ac,ceasn:Competency,,,,,,,,1.A.1.a.3,Oral Expression,Abilities,The ability to communicate information and ideas in speaking so others will understand.,communicate by speaking,,ce-07c2592a-9119-11e8-b852-782bcb5df6ac
ce-07c25aa4-9119-11e8-b852-782bcb5df6ac,ceasn:Competency,,,,,,,,1.A.1.a.4,Written Expression,Abilities,The ability to communicate information and ideas in writing so others will understand.,communicate by writing,,ce-07c2592a-9119-11e8-b852-782bcb5df6ac
ce-07c25b63-9119-11e8-b852-782bcb5df6ac,ceasn:Competency,,,,,,,,1.A.1.b.1,Fluency of Ideas,Abilities,"The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity).",come up with lots of ideas,,ce-07c25b00-9119-11e8-b852-782bcb5df6ac
