---------------------------------------|---------|----------|---------|---------|-------------------
File                                   | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
---------------------------------------|---------|----------|---------|---------|-------------------
All files                              |   21.51 |     16.8 |   28.16 |   21.83 |                   
 src                                   |      31 |    31.12 |      50 |   31.95 |                   
  App.vue                              |   23.79 |    28.86 |   31.48 |   24.68 | ...1349,1377-1378 
  main.js                              |   83.33 |    74.07 |     100 |   86.56 | 138-150           
  router.js                            |    72.3 |       50 |   73.01 |    72.3 | ...63-165,181-212 
 src/components                        |   36.44 |    40.74 |      50 |   37.71 |                   
  AddNewDropdown.vue                   |     100 |      100 |     100 |     100 |                   
  Dropdown.vue                         |       0 |      100 |       0 |       0 | 7                 
  DropdownItem.vue                     |       0 |      100 |       0 |       0 | 12-16             
  Panel.vue                            |       0 |        0 |       0 |       0 |                   
  PanelItem.vue                        |      50 |      100 |      60 |      50 | 25-29             
  SideNav.vue                          |   35.92 |    40.74 |   52.94 |   37.37 | ...88,194-195,201 
  Topbar.vue                           |       0 |      100 |       0 |       0 | 11-18             
 src/components/configuration          |   13.02 |    13.41 |   19.51 |   16.59 |                   
  ConfigurationDetails.vue             |   13.14 |    13.94 |   19.87 |   17.07 | ...1355,1376-1377 
  ConfigurationList.vue                |    1.49 |        0 |    4.34 |    1.61 | 28-70,84-160      
  ConfigurationListItem.vue            |       0 |        0 |       0 |       0 | 41-52             
  ...orkCompetencyPropertyListItem.vue |      60 |      100 |      50 |      60 | 76-89             
  RelationshipListItem.vue             |   16.66 |      100 |      25 |   16.66 | 34-47             
 src/components/framework              |    9.12 |     9.03 |    22.4 |    9.19 |                   
  Comment.vue                          |       0 |        0 |       0 |       0 | 8-68              
  Comments.vue                         |       0 |        0 |       0 |       0 | 9-228             
  EditorToolbar.vue                    |   22.96 |     30.7 |   35.48 |   23.41 | ...83-391,397-398 
  ListItemInfo.vue                     |    6.25 |     5.73 |   22.72 |    6.25 | ...1181,1198,1210 
  RightAside.vue                       |   66.66 |      100 |   66.66 |   66.66 | 26                
  Search.vue                           |       0 |        0 |       0 |       0 | 40-283            
  SearchBar.vue                        |   51.21 |    56.25 |      50 |   52.63 | ...90-104,117-120 
  Versions.vue                         |       0 |      100 |       0 |       0 | 6                 
 src/components/frameworks             |   50.51 |    39.34 |      76 |   50.53 |                   
  FilterAndSort.vue                    |   50.51 |    39.34 |      76 |   50.53 | ...10,224-235,281 
 src/components/import                 |    5.52 |        0 |   17.11 |    5.65 |                   
  DragAndDrop.vue                      |    9.09 |        0 |   21.42 |    9.37 | 20,28-78          
  ImportDetails.vue                    |       0 |      100 |       0 |       0 | 12-36             
