---------------------------------------|---------|----------|---------|---------|-------------------
File                                   | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
---------------------------------------|---------|----------|---------|---------|-------------------
All files                              |      29 |    23.11 |   41.01 |   29.48 |                   
 src                                   |   28.77 |    27.19 |   47.25 |   29.54 |                   
  App.vue                              |   20.78 |    24.33 |   30.55 |   21.55 | ...1377-1378,1391 
  main.js                              |   94.44 |    81.48 |     100 |   97.01 | 144-145           
  router.js                            |   66.15 |       50 |   66.66 |   66.15 | ...27-138,172-201 
 src/components                        |   33.05 |    29.62 |      50 |   34.21 |                   
  AddNewDropdown.vue                   |     100 |      100 |     100 |     100 |                   
  Dropdown.vue                         |     100 |      100 |     100 |     100 |                   
  DropdownItem.vue                     |       0 |      100 |       0 |       0 | 12-16             
  Panel.vue                            |       0 |        0 |       0 |       0 |                   
  PanelItem.vue                        |      50 |      100 |      60 |      50 | 25-29             
  SideNav.vue                          |   31.06 |    29.62 |      50 |   32.32 | ...94-195,201,207 
  Topbar.vue                           |       0 |      100 |       0 |       0 | 11-18             
 src/components/configuration          |   21.45 |    18.68 |   26.82 |   26.85 |                   
  ConfigurationDetails.vue             |   22.03 |     19.3 |   27.71 |   28.08 | ...1355,1376-1377 
  ConfigurationList.vue                |    2.98 |        0 |    8.69 |    3.22 | 28-67,84-160      
  ConfigurationListItem.vue            |   28.57 |       25 |      50 |   28.57 | 42,48-52          
  ...orkCompetencyPropertyListItem.vue |      60 |      100 |      50 |      60 | 76-89             
  RelationshipListItem.vue             |   16.66 |      100 |      25 |   16.66 | 34-47             
 src/components/framework              |    9.97 |    10.14 |    24.4 |    9.98 |                   
  Comment.vue                          |       0 |        0 |       0 |       0 | 8-68              
  Comments.vue                         |       0 |        0 |       0 |       0 | 9-228             
  EditorToolbar.vue                    |   28.22 |    37.71 |    38.7 |   28.78 | ...83-391,397-398 
  ListItemInfo.vue                     |    5.45 |     5.33 |   21.59 |    5.45 | ...1198,1205-1210 
  RightAside.vue                       |   66.66 |      100 |   66.66 |   66.66 | 26                
  Search.vue                           |       0 |        0 |       0 |       0 | 40-283            
  SearchBar.vue                        |   65.85 |       75 |   66.66 |   65.78 | ...90,104,117-120 
  Versions.vue                         |       0 |      100 |       0 |       0 | 6                 
 src/components/frameworks             |    56.7 |    49.18 |      84 |   56.98 |                   
  FilterAndSort.vue                    |    56.7 |    49.18 |      84 |   56.98 | ...10,224-235,281 
 src/components/import                 |    8.12 |        0 |    26.2 |    8.32 |                   
  DragAndDrop.vue                      |    9.09 |        0 |   21.42 |    9.37 | 20,28-78          
  ImportDetails.vue                    |       0 |      100 |       0 |       0 | 12-36             
