@id,ceterms:ctid,ceasn:isTopChildOf,ceasn:isChildOf,ceasn:competencyCategory,ceasn:codedNotation,ceasn:competencyText,ceasn:comment,@type,ceasn:name
https://credentialengineregistry.org/resources/ce-2b824fc9-954a-11e8-b852-782bcb5df6ac,ce-2b824fc9-954a-11e8-b852-782bcb5df6ac,,,,,,,ceasn:CompetencyFramework,O*NET Content Model
https://credentialengineregistry.org/resources/ce-07c346b7-9119-11e8-b852-782bcb5df6ac,ce-07c346b7-9119-11e8-b852-782bcb5df6ac,https://credentialengineregistry.org/resources/ce-2b824fc9-954a-11e8-b852-782bcb5df6ac,,,1,Worker Characteristics,Worker Characteristics,ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c257d6-9119-11e8-b852-782bcb5df6ac,ce-07c257d6-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c346b7-9119-11e8-b852-782bcb5df6ac,,1.A,Abilities,Enduring attributes of the individual that influence performance,ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c258c1-9119-11e8-b852-782bcb5df6ac,ce-07c258c1-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c257d6-9119-11e8-b852-782bcb5df6ac,,1.A.1,Cognitive Abilities,Abilities that influence the acquisition and application of knowledge in problem solving,ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c2592a-9119-11e8-b852-782bcb5df6ac,ce-07c2592a-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c258c1-9119-11e8-b852-782bcb5df6ac,,1.A.1.a,Verbal Abilities,Abilities that influence the acquisition and application of verbal information in problem solving,ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c25988-9119-11e8-b852-782bcb5df6ac,ce-07c25988-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c2592a-9119-11e8-b852-782bcb5df6ac,Abilities,1.A.1.a.1,Oral Comprehension,The ability to listen to and understand information and ideas presented through spoken words and sentences.,ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c259eb-9119-11e8-b852-782bcb5df6ac,ce-07c259eb-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c2592a-9119-11e8-b852-782bcb5df6ac,Abilities,1.A.1.a.2,Written Comprehension,The ability to read and understand information and ideas presented in writing.,ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c25a46-9119-11e8-b852-782bcb5df6ac,ce-07c25a46-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c2592a-9119-11e8-b852-782bcb5df6ac,Abilities,1.A.1.a.3,Oral Expression,The ability to communicate information and ideas in speaking so others will understand.,ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c25aa4-9119-11e8-b852-782bcb5df6ac,ce-07c25aa4-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c2592a-9119-11e8-b852-782bcb5df6ac,Abilities,1.A.1.a.4,Written Expression,The ability to communicate information and ideas in writing so others will understand.,ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c25b00-9119-11e8-b852-782bcb5df6ac,ce-07c25b00-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c258c1-9119-11e8-b852-782bcb5df6ac,,1.A.1.b,Idea Generation and Reasoning Abilities,Abilities that influence the application and manipulation of information in problem solving,ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c25b63-9119-11e8-b852-782bcb5df6ac,ce-07c25b63-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c25b00-9119-11e8-b852-782bcb5df6ac,Abilities,1.A.1.b.1,Fluency of Ideas,"The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity).",ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c25bc3-9119-11e8-b852-782bcb5df6ac,ce-07c25bc3-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c25b00-9119-11e8-b852-782bcb5df6ac,Abilities,1.A.1.b.2,Originality,"The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem.",ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c25c22-9119-11e8-b852-782bcb5df6ac,ce-07c25c22-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c25b00-9119-11e8-b852-782bcb5df6ac,Abilities,1.A.1.b.3,Problem Sensitivity,"The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing there is a problem.",ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c25c7f-9119-11e8-b852-782bcb5df6ac,ce-07c25c7f-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c25b00-9119-11e8-b852-782bcb5df6ac,Abilities,1.A.1.b.4,Deductive Reasoning,The ability to apply general rules to specific problems to produce answers that make sense.,ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c25cdf-9119-11e8-b852-782bcb5df6ac,ce-07c25cdf-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c25b00-9119-11e8-b852-782bcb5df6ac,Abilities,1.A.1.b.5,Inductive Reasoning,The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).,ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c25d3f-9119-11e8-b852-782bcb5df6ac,ce-07c25d3f-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c25b00-9119-11e8-b852-782bcb5df6ac,Abilities,1.A.1.b.6,Information Ordering,"The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations).",ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c25da1-9119-11e8-b852-782bcb5df6ac,ce-07c25da1-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c25b00-9119-11e8-b852-782bcb5df6ac,Abilities,1.A.1.b.7,Category Flexibility,The ability to generate or use different sets of rules for combining or grouping things in different ways.,ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c25dfe-9119-11e8-b852-782bcb5df6ac,ce-07c25dfe-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c258c1-9119-11e8-b852-782bcb5df6ac,,1.A.1.c,Quantitative Abilities,Abilities that influence the solution of problems involving mathematical relationships,ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c33735-9119-11e8-b852-782bcb5df6ac,ce-07c33735-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c25dfe-9119-11e8-b852-782bcb5df6ac,Abilities,1.A.1.c.1,Mathematical Reasoning,The ability to choose the right mathematical methods or formulas to solve a problem.,ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c33787-9119-11e8-b852-782bcb5df6ac,ce-07c33787-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c25dfe-9119-11e8-b852-782bcb5df6ac,Abilities,1.A.1.c.2,Number Facility,"The ability to add, subtract, multiply, or divide quickly and correctly.",ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c337d8-9119-11e8-b852-782bcb5df6ac,ce-07c337d8-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c258c1-9119-11e8-b852-782bcb5df6ac,,1.A.1.d,Memory,Abilities related to the recall of available information,ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c3382b-9119-11e8-b852-782bcb5df6ac,ce-07c3382b-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c337d8-9119-11e8-b852-782bcb5df6ac,Abilities,1.A.1.d.1,Memorization,"The ability to remember information such as words, numbers, pictures, and procedures.",ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c3387c-9119-11e8-b852-782bcb5df6ac,ce-07c3387c-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c258c1-9119-11e8-b852-782bcb5df6ac,,1.A.1.e,Perceptual Abilities,Abilities related to the acquisition and organization of visual information,ceasn:Competency,
https://credentialengineregistry.org/resources/ce-07c338ce-9119-11e8-b852-782bcb5df6ac,ce-07c338ce-9119-11e8-b852-782bcb5df6ac,,https://credentialengineregistry.org/resources/ce-07c3387c-9119-11e8-b852-782bcb5df6ac,Abilities,1.A.1.e.1,Speed of Closure,"The ability to quickly make sense of, combine, and organize information into meaningful patterns.",ceasn:Competency,
