@context,@id,owner,signature,@type,description,name
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/ed871e64-4af5-4b54-ad18-3cd937452888/1522269786189,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,FLRTzfR2MMWh2eaGUPBIWzTMvA7VUkTAmRV6VS9PQ7GFiRuAmIraWG9rVk30rX/hpoxmhB5OU79xc6oNH4hR9cna9yCtL/MFDAVGpVvfdPblh+kTWaPO9ShXEmfJWMseM1ZItCfYV+N2FO8ct4tbvHCjKgO+KAC2yfuND8Ek8KthV3+vt+iU7FHHTSyzfxxRVF6kRh5pG0xW89YKrMBHv0bv6Rpgz+HdRpF6a/Jz/FoxPWUbk3sCMd7NbD0niLGDl2oGNkCvmn7LqMNs4bxuBK/fUOkznuDUJM0ZqKW7YMFgRjhRmGlcaNbwlplgW4TvEPlCXL9xsqecuQ+Vp4hKwA==,Competency,Able to generate a description of a software system to be developed,Software Requirements
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/0f157828-460d-4bb6-b9e9-4f109b14a19a/1522269813029,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,Ff4RC4AKQWNmEh0HV/aV09A4/VvUTAF9NzyENUcjDms9O6B8JhlQLjkyUuemZF9aCkQXjlBIDJLqD5EY9Nl0sEHYeAv//pJuM396OxZNvU23277MXX8pXOTY3gyoJ1DpgGO6aGpIBLQT3igLSLsbgMD+h/HQyXA5RhDSXeJvmW71ZcL7tzl9uHOHrqhWLOfYqFTKay2pnr775uQKVg/7EDPEBBG+xZG4TOR3YzDTNCzAjncLJxE263V+5mjAPNpl3wTtXlQwxhYyEFE5y+DmSF6Ugaye/qPdmWfKJNRCmIy77oVE16MThdb2emxirHlW968YVx3Y3L40/kaxC7VyiQ==,Competency,"Collecting the requirements of a system from users, customers and other stakeholders",Software Requirements Elicitation
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/db23fc42-473e-40ef-aabc-27cd43042980/1522269785948,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,Vvf5oDXzfGLbmwAXlDag5+0mtvvgU7qD2pYC9rbGl8eqrPGYs3hc3QiCjlTe/D3afe99OiAzrJGz0tCSvsjsvv6D9U1MQwdUavlKYLRTqaDhjSndCSmD/RIpppuyV1YsfIjEn7Gehu/sDzSAIeBnqvpknAjLSBc72XzlYKE41+Bn8Mtes0+/JhZ9ftWV2aYu8P9ey/i9Bk+ZftJaLUb45ePSsLYkK4Xdr2JgP0lDYtvbz+sn8+AgF98DS9z6I8JZTkz7uWPDPCTaVKvg5BKt1yGEoRuG/j/d8FxmfdME0PnnyQJr8SMOnMrGsZgWQbKzuvAl5dskxDGCrQ5I6ETndw==,Competency,Determining the needs or conditions to meet for a new or altered product or project,Software Requirements Analysis
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/22c152bd-2142-40aa-86fd-dde903ea6c36/1522269785823,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,Pr3ppZQ3s+MY0gd+1yapC8pATdM+Br05S6OPaxKLvMX3xIigfUM17mNTXxYBz8GjadI7zsErOBJYFmje4n5fXv87qfGY7LcPK7Ze6LMwQRhoXwvjmCv8lt7MEU9lbumSG3U/tB4r1ZEvP6pKR3t2K1y/MSbBNyGsfElPKJix0btMMKgwJz7T5ZCqngNoOQWWGzGOR0NlzeBLOZLINAbcsLtP98xA5hZuCY7W/ZeoyUrEaBgR6PCyDgDK1sGeIeGCtTsKXPY/Gv8WtbeT7IsUo8ja7WjpR9trtgmRELhB28FWRn7/mFp06BUVt3Lu9/aS9/Y6sYD3CMiVxsQjOalffw==,Competency,Lays out functional and non-functional requirements,Software Requirements Specification
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/200a974e-85a1-4dfa-aeb6-799336d8fd0c/1522269785711,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,ClL9svt9qSqTpCT7fODdg7+GJrez50xmBe/5QKjpoXOLR1V9YqTG6lWGMsHdaE3g5VdU2bTKtGnTeWVrGs7nHXyxlKdQJ5KgU7sgZ0ii8KnJp+OJV2KivGEHuvgKz1Nhrw2SDRdSJQEf42DP0lGUaYt9p4VAUZ2p4JUpD+b3UN0O3x/8rE200VPmD9wd4MLMcQleYvMJYAvd9BlSWNwurXNDKZXablCfpwRgIJwIpIpoFpjj8hTdNinZVD29VSImuqHJYCZpOxTrb4LOccROQgh/UmqF1/ZsMrLSgHdRBfU6qQH8y722F/lj9Xl90ZUpyRqF98TG6E/iU34XXy4Z9Q==,Competency,Checking that a software system meets specifications and that it fulfils its intended purpose,Software Requirements Verification and Validation
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/00ed3d59-3afb-4e5b-9842-0251c7965a0b/1522269785559,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,jxOKjEfXvsJdW8b5eaJpe3bh8Lgcn0YB3EQ7lIyjDgRPAHcgp85QmLdR9oyI7hNjhITsQsHVkTuTMc+6CmZuYjiWgDrqZKRVX136uYfFap9qrGTI6ZS+8UlKyx20W/jT6URfZnyJF+jt+R96/EvBKD5FOLhuIooyvP0Ym7QirlOPMrAfvOJvpriYXvMiNqesvKhMM8ep5EXIf/1iS0snUYhFNrgi9WTgu62F/o9jpCjjtBoGyaPtVuaubq42sbiJAk+H71OPDF1vRScs+OEdzr5LX3y2SYy1WiNz+3+f0zFSV9LQ/ma/Bcj17NB3aDpsvRHzE4jHCT7gsbawJzMWEg==,Competency,"All the activity involved in conceptualizing, framing, implementing, commissioning, and ultimately modifying complex systems",Software Design
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/3be571db-2d02-482e-aa1e-655b5fa0ee93/1522269785441,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,UTZxs0f8e7NPT1Cs9E6MZgDlv1B8/V+MwalNkx7cW4wYBoB2cbjqrga7hmXxqqaqTcyrdwmcTmiQUiSHcpRM7AQUUjVf8MAaz/ab20nMl7g15tHGTNSKRl48U/xHYZCBd4CS75FStwtk3H6iS6tCfeuG0WRZJj7kCT2jBk2eAZ+D18f2ZhEd4+nShViDWskYlQnsj8XmLQSKYuryUqB/u3QBH7pMKHWtjZhzEqoCjA5dfdUe4EjMLbyU6wNG7lsCU2ztQL/zaux72SBU3TnTX96SrxINdOBlZWTpXRsuz9IHx+Q3w7t42041hK+me1k2zA9sSKYc3+lGDQrkkzu9Tw==,Competency,Requirements are translated into a representation of software,Software Design Fundamentals
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/9a558235-48a5-499a-94e1-be33642422eb/1522269785327,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,jFZRlxdh+yFYjG3+xoTtWEg/717vSDZCpjta5I2Ea+zF5xVP54OK31Evqmb5bdWhbclQe8ISc34ORK3xqjzJ6iMnyYMgBhWXx0l7hpijZBMxihjmHQ1no8kKQLJulLzzQwYK5H3Z3WXbLCjB4VHWMhKP05A2eVYwKULzRDTkqhY0c7sDf4rH0BFApM1s95Ot+I+g82mUEj9NF950GF0rnlda+h7EASqhndg3DjNY/8IvdCSJVG1ytl8SXz2BO9rNp3eKwl3vJNGFSnNqs+0ox9349Vfs3Zx1kd/xVUT2HbWOQELgIyuroxJFESYd8N2tVLhmkVzSxHccq21nqMN2UA==,Competency,Finding the best possible design for implementing the intended solution,Software Design Strategies and Methods
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/b524a8d6-9386-4f79-8179-02f555a7494f/1522269785206,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,JDkWmHPTmNjfIMBLDBhhlbOIttAdrhc+3zfyhBwh2Hlb1H78sIVk4BcpXLBSRC1pR5g8xKS74+gK1XZowlRFx20pU2ixiCEhpvo0cJ3KcPMRowY7Qz+SzwEOFaXBJvxupmXYGehKiIc4p+VdE+i2oJGJ0HNv+FY0Qz+ZEzT54llPrBZTXj4Nxtp6lv1iJM7fCa6TueI2YMWGhJ5c/aVTlGhG8ZRNG+eh/sOtIYshym8XcOy+mnVDzyVoQFAe3Ryt/AdieDL0ProM1qaM2aeeIhZX/vUmvQ3Dj1pQ7KfvUBNFxTjzJDLTpI3HjuS8agFPmN9aUcp+MbfBr/YnJVJSSQ==,Competency,"High level structures of a software system, the discipline of creating such structures, and the documentation of these structures",Software Architectural Design
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/b20e7962-e216-44ba-8e45-52db11679983/1522269785071,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,YHKLif2TVA0YxXx0sRDEguacqx1XfkwTHoTkQTDN5ym8muEhUBdiJalzEgJNmEGFVvTLxIAOVX7sYtBDDEQYWNH4wJxqZZlQNWjKLdYGutBt2hBnLqqvI1x9kHwfzqwSsdqlUU3v/5NANhuvDZarpWhgnp0RqDF3cBJey1wNDfluprwLesbQFvwFkfnWVn8e54TwZ4IVE0E0TRit0tecIDdNbomKcR+25YWcs5vfaB/hff0gjwQNiMLToNQUaa8nNGaj+YAZFe3/d1XFysHH/kxEhF0BTt4dwgMdB9lprO4JyJPwwcRQGbVgpFTJ6onydBuJisQiRcqZzVWw+PNCwA==,Competency,Conformance of a software design with respect to the functional requirements,Software Design Quality Analysis and Evaluation
